ids,cpl1,cpl2,cpl3,cpl4,cpl5,cpl6,cpl7,cpl8
0,8.43667,10.4963,10.2033,1.07048e-08,4.46287,0.00631331,0.00197232,0.0610375
1,8.41204,10.596,10.3971,1.0346e-08,3.86895,0.00442791,0.00162832,0.0590751
2,8.41947,10.6218,10.442,1.03127e-08,3.81347,0.00318019,0.00153426,0.0604511
3,8.42623,10.6134,10.3846,1.03344e-08,3.84143,0.00454022,0.00205782,0.0698893
4,8.30129,10.3778,10.1016,1.08784e-08,4.28436,0.00467559,0.000608587,0.0939444
5,8.13423,10.039,12.447,1.00599e-08,4.43125,0.0145882,0.000270092,0.0676389
6,8.38335,10.3659,10.2155,1.07514e-08,4.62865,0.011165,0.000569723,0.0646175
7,8.36999,10.5214,10.2123,1.08251e-08,4.14151,0.00182656,0.00145804,0.0520195
8,8.48974,10.6703,10.7382,1.06879e-08,4.05866,0.00203978,0.000715366,0.0492057
9,8.4571,10.6485,10.4008,1.03826e-08,3.79926,0.00567292,0.00246459,0.0734501
10,8.21739,10.241,10.2516,1.08394e-08,4.7159,0.00111356,0.00177799,0.0922125
11,8.55664,10.9294,11.099,1.06426e-08,3.28022,0.000730554,0.000923759,0.0643041
12,8.34902,10.3669,10.6167,1.07092e-08,4.77648,0.00463758,0.000458839,0.0493738
13,8.55398,10.8123,10.8542,1.07072e-08,3.72798,0.00250036,0.000769705,0.0876718
14,8.38676,10.4905,10.348,1.07182e-08,4.4808,0.00244556,0.00387666,0.0767759
15,8.41664,10.5469,10.4306,1.05316e-08,4.01091,0.00610246,0.000742184,0.0611204
16,8.30471,10.3414,11.943,1.02869e-08,4.1651,0.0111192,0.00108738,0.0635106
17,8.50472,10.6557,10.123,1.07438e-08,4.17977,0.00376767,0.000886329,0.0854026
18,8.27158,10.1955,11.0408,1.02367e-08,4.92783,0.00944317,0.00203381,0.100329
19,8.58842,10.6917,10.1745,1.05829e-08,4.72061,0.00312081,0.00277718,0.0583817
20,8.18753,10.1542,10.2123,1.09212e-08,5.00054,0.000886737,0.00145651,0.1011
21,8.63971,10.8879,11.548,1.06926e-08,4.22592,0.000374475,0.00199805,0.052493
22,8.33808,10.4139,10.3004,1.09894e-08,4.45064,0.00382666,0.000955279,0.0617063
23,8.23709,10.2049,9.86103,1.08918e-08,4.90809,0.00294526,0.00181407,0.0890899
24,8.42845,10.4929,10.6175,1.07427e-08,4.5247,0.00696953,0.00193795,0.0592162
25,8.359,10.3528,10.7316,1.07031e-08,4.97787,0.0042789,0.00028209,0.0488798
26,8.41056,10.5069,11.9167,1.06308e-08,4.3102,0.00644931,0.00262488,0.0810431
27,8.63788,10.9437,11.1147,1.02377e-08,3.80253,0.000618043,0.000803022,0.0548746
28,8.49774,10.7936,10.3716,1.04606e-08,3.57004,0.000409345,0.000241641,0.0469799
29,8.35229,10.3769,10.2825,1.06654e-08,4.41465,0.00732852,0.00027284,0.0413731
30,8.5312,10.7049,10.4689,1.0711e-08,4.15326,0.00249475,0.000202919,0.038043
31,8.59006,10.8432,10.3234,1.04054e-08,3.7273,0.00508436,0.000331394,0.060825
32,8.5162,10.648,10.1007,1.02957e-08,4.40752,0.00364562,0.00322367,0.0539664
33,8.51779,10.6511,10.0942,1.0297e-08,4.40556,0.00358108,0.00320584,0.0540485
34,8.53184,10.706,10.4674,1.07088e-08,4.15327,0.00248747,0.000208526,0.038148
35,8.62464,10.8751,10.5461,1.01971e-08,3.93365,0.00290093,0.00214601,0.0711892
36,8.5126,10.6416,10.0792,1.03158e-08,4.31976,0.00530173,0.00327063,0.0608717
37,8.62473,10.8753,10.5578,1.02035e-08,3.93509,0.00288148,0.00222081,0.0708545
38,8.65162,10.9045,10.6282,1.0243e-08,4.07727,0.00188579,0.00260849,0.0574794
39,8.6485,10.8998,10.6299,1.02384e-08,4.08443,0.00183358,0.00272525,0.0560979
40,8.64988,10.9126,10.59,1.02668e-08,4.0063,0.00209064,0.00282139,0.0566878
41,8.64509,10.9077,10.589,1.02663e-08,3.98653,0.00231592,0.00279632,0.0569405
42,8.58748,11.0045,10.4783,1.03456e-08,3.12235,0.000194286,5.76363e-05,0.0546232
43,8.54875,10.7618,10.377,1.08023e-08,4.10766,0.00239324,0.00122249,0.0589733
44,8.73799,11.0232,10.5566,1.02164e-08,4.02873,0.000743136,0.000809739,0.0486442
45,8.63665,10.8962,10.6033,1.0299e-08,3.96705,0.00259635,0.00293359,0.0580741
46,8.57734,10.7843,10.5417,1.03954e-08,4.1487,0.00217353,0.00127431,0.046326
47,8.4059,10.6099,12.1769,1.07188e-08,3.93331,0.00097477,0.000738731,0.0571998
48,8.41147,10.5893,10.88,1.01806e-08,3.57349,0.00882142,0.000644971,0.0637199
49,8.46271,10.5827,9.94966,1.02389e-08,4.33308,0.00519342,0.0029954,0.0822836
50,8.47081,10.66,11.8862,1.0703e-08,4.05397,0.00153083,0.00139226,0.0817411
51,8.40942,10.6077,12.2422,1.07158e-08,3.9867,0.000708348,0.000659057,0.0564335
52,8.64035,11.028,10.3377,1.03282e-08,3.34755,0.00093191,0.0012506,0.0724176
53,8.41069,10.6093,12.2147,1.07059e-08,3.98033,0.000783972,0.000664204,0.0569762
54,8.43014,10.5806,11.7905,1.05606e-08,4.00043,0.00623052,0.00141061,0.0608772
55,8.66448,10.9199,10.2133,1.03369e-08,4.16392,0.00110224,0.00143213,0.0543526
56,8.26821,10.2204,9.74883,1.00804e-08,5.1155,0.00403145,0.00307213,0.0774822
